Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,rainfall_adequacy_index,thermal_stress_score,log_pesticides,yield_lag_1,rainfall_roll3
Albania,Soybeans,1997,12768,1485.0,376.93,15.9,2.5826,9.1,5.9347,15480.0,1485.0
Albania,Soybeans,1998,14327,1485.0,439.89,16.27,2.5826,8.73,6.0888,12768.0,1485.0
Albania,Soybeans,1999,17143,1485.0,502.86,16.57,2.5826,8.43,6.2223,14327.0,1485.0
Albania,Soybeans,2000,15000,1485.0,565.82,16.67,2.5826,8.33,6.34,17143.0,1485.0
Albania,Soybeans,2001,20000,1485.0,628.79,16.59,2.5826,8.41,6.4454,15000.0,1485.0
Albania,Soybeans,2002,20000,1485.0,691.75,16.47,2.5826,8.53,6.5407,20000.0,1485.0
Albania,Soybeans,2004,13333,1485.0,817.68,16.16,2.5826,8.84,6.7077,20000.0,1485.0
Albania,Soybeans,2005,17500,1485.0,880.64,15.67,2.5826,9.33,6.7818,13333.0,1485.0
Albania,Soybeans,2006,20000,1485.0,943.61,15.92,2.5826,9.08,6.8508,17500.0,1485.0
Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,2.5826,8.33,6.9153,20000.0,1485.0
Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,2.5826,8.29,6.9759,20000.0,1485.0
Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,2.5826,8.27,7.0331,20000.0,1485.0
Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,2.5826,8.48,7.1794,16667.0,1485.0
Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,2.5826,8.55,7.1729,16667.0,1485.0
Albania,Soybeans,2012,13333,1485.0,766.25,16.7,2.5826,8.3,6.6428,18519.0,1485.0
Albania,Soybeans,2013,10000,1485.0,982.32,17.41,2.5826,7.59,6.8909,13333.0,1485.0
Albania,Wheat,1991,20698,1485.0,121.0,15.36,2.7,1.64,4.804,30197.0,1485.0
Albania,Wheat,1992,24388,1485.0,121.0,16.06,2.7,0.94,4.804,20698.0,1485.0
Albania,Wheat,1993,29976,1485.0,121.0,16.05,2.7,0.95,4.804,24388.0,1485.0
Albania,Wheat,1994,24745,1485.0,201.0,16.96,2.7,0.04,5.3083,29976.0,1485.0
Albania,Wheat,1995,28703,1485.0,251.0,15.67,2.7,1.33,5.5294,24745.0,1485.0
Albania,Wheat,1996,21741,1485.0,313.96,15.64,2.7,1.36,5.7524,28703.0,1485.0
Albania,Wheat,1997,28516,1485.0,376.93,15.9,2.7,1.1,5.9347,21741.0,1485.0
Albania,Wheat,1998,28037,1485.0,439.89,16.27,2.7,0.73,6.0888,28516.0,1485.0
Albania,Wheat,1999,24954,1485.0,502.86,16.57,2.7,0.43,6.2223,28037.0,1485.0
Albania,Wheat,2000,30455,1485.0,565.82,16.67,2.7,0.33,6.34,24954.0,1485.0
Albania,Wheat,2001,28220,1485.0,628.79,16.59,2.7,0.41,6.4454,30455.0,1485.0
Albania,Wheat,2002,31617,1485.0,691.75,16.47,2.7,0.53,6.5407,28220.0,1485.0
Albania,Wheat,2004,31130,1485.0,817.68,16.16,2.7,0.84,6.7077,31617.0,1485.0
Albania,Wheat,2005,31582,1485.0,880.64,15.67,2.7,1.33,6.7818,31130.0,1485.0
Albania,Wheat,2006,30787,1485.0,943.61,15.92,2.7,1.08,6.8508,31582.0,1485.0
Albania,Wheat,2007,35496,1485.0,1006.57,16.67,2.7,0.33,6.9153,30787.0,1485.0
Albania,Wheat,2008,40168,1485.0,1069.54,16.71,2.7,0.29,6.9759,35496.0,1485.0
Albania,Wheat,2009,40229,1485.0,1132.5,16.73,2.7,0.27,7.0331,40168.0,1485.0
Albania,Wheat,2010,39905,1485.0,1311.17,16.52,2.7,0.48,7.1794,40229.0,1485.0
Albania,Wheat,2011,42301,1485.0,1302.63,16.45,2.7,0.55,7.1729,39905.0,1485.0
Albania,Wheat,2012,41096,1485.0,766.25,16.7,2.7,0.3,6.6428,42301.0,1485.0
Albania,Wheat,2013,41292,1485.0,982.32,17.41,2.7,0.41,6.8909,41096.0,1485.0
Algeria,Maize,1991,19231,89.0,2461.8,16.26,0.1369,7.74,7.8091,16500.0,89.0
Algeria,Maize,1992,22828,89.0,1215.47,16.27,0.1369,7.73,7.1037,19231.0,89.0
Algeria,Maize,1993,12500,89.0,1021.89,17.0,0.1369,7.0,6.9304,22828.0,89.0
Algeria,Maize,1994,4512,89.0,1255.02,17.88,0.1369,6.12,7.1357,12500.0,89.0
Algeria,Maize,1995,16115,89.0,2697.09,17.36,0.1369,6.64,7.9003,4512.0,89.0
Algeria,Maize,1996,17154,89.0,479.77,16.76,0.1369,7.24,6.1754,16115.0,89.0
Algeria,Maize,1997,21417,89.0,401.22,17.84,0.1369,6.16,5.997,17154.0,89.0
Algeria,Maize,1998,17222,89.0,322.84,17.14,0.1369,6.86,5.7802,21417.0,89.0
Algeria,Maize,1999,22375,89.0,654.45,17.97,0.1369,6.03,6.4853,17222.0,89.0
Algeria,Maize,2000,36186,89.0,603.67,17.9,0.1369,6.1,6.4047,22375.0,89.0
Algeria,Maize,2001,27175,89.0,710.11,18.13,0.1369,5.87,6.5668,36186.0,89.0
Algeria,Maize,2002,33480,89.0,816.55,17.85,0.1369,6.15,6.7063,27175.0,89.0
Algeria,Maize,2004,31729,89.0,3747.86,17.38,0.1369,6.62,8.2292,33480.0,89.0
Algeria,Maize,2005,33864,89.0,3662.87,17.19,0.1369,6.81,8.2063,31729.0,89.0
Algeria,Maize,2006,65668,89.0,4110.72,18.13,0.1369,5.87,8.3216,33864.0,89.0
Algeria,Maize,2007,85625,89.0,5390.79,17.42,0.1369,6.58,8.5926,65668.0,89.0
Algeria,Maize,2008,44714,89.0,11556.12,17.55,0.1369,6.45,9.3551,85625.0,89.0
Algeria,Maize,2009,30914,89.0,3867.99,17.78,0.1369,6.22,8.2607,44714.0,89.0
Algeria,Maize,2010,25827,89.0,1295.88,17.59,0.1369,6.41,7.1677,30914.0,89.0
Algeria,Maize,2011,23374,89.0,13861.76,17.79,0.1369,6.21,9.537,25827.0,89.0
Algeria,Maize,2012,25583,89.0,17379.76,17.91,0.1369,6.09,9.7631,23374.0,89.0
Algeria,Maize,2013,33649,89.0,17278.65,17.65,0.1369,6.35,9.7573,25583.0,89.0
Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,0.1483,1.74,7.8091,78936.0,89.0
Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,0.1483,1.73,7.1037,90747.0,89.0
Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,0.1483,1.0,6.9304,107917.0,89.0
Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,0.1483,0.12,7.1357,111215.0,89.0
Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,0.1483,0.64,7.9003,95078.0,89.0
Algeria,Potatoes,1996,134629,89.0,479.77,16.76,0.1483,1.24,6.1754,136768.0,89.0
Algeria,Potatoes,1997,141042,89.0,401.22,17.84,0.1483,0.16,5.997,134629.0,89.0
Algeria,Potatoes,1998,160256,89.0,322.84,17.14,0.1483,0.86,5.7802,141042.0,89.0
Algeria,Potatoes,1999,153532,89.0,654.45,17.97,0.1483,0.03,6.4853,160256.0,89.0
Algeria,Potatoes,2000,166143,89.0,603.67,17.9,0.1483,0.1,6.4047,153532.0,89.0
Algeria,Potatoes,2001,147018,89.0,710.11,18.13,0.1483,0.13,6.5668,166143.0,89.0
Algeria,Potatoes,2002,183774,89.0,816.55,17.85,0.1483,0.15,6.7063,147018.0,89.0
Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,0.1483,0.62,8.2292,183774.0,89.0
Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,0.1483,0.81,8.2063,203585.0,89.0
Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,0.1483,0.13,8.3216,216267.0,89.0
Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,0.1483,0.58,8.5926,220689.0,89.0
Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,0.1483,0.45,9.3551,189927.0,89.0
Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,0.1483,0.22,8.2607,236393.0,89.0
Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,0.1483,0.41,7.1677,250764.0,89.0
Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,0.1483,0.21,9.537,270526.0,89.0
Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,0.1483,0.09,9.7631,292806.0,89.0
Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,0.1483,0.35,9.7573,304291.0,89.0
Algeria,Rice,1991,26786,89.0,2461.8,16.26,0.0509,8.74,7.8091,28000.0,89.0
Algeria,Rice,1992,24733,89.0,1215.47,16.27,0.0509,8.73,7.1037,26786.0,89.0
Algeria,Rice,1993,23111,89.0,1021.89,17.0,0.0509,8.0,6.9304,24733.0,89.0
Algeria,Rice,1994,21374,89.0,1255.02,17.88,0.0509,7.12,7.1357,23111.0,89.0
Algeria,Rice,1995,19598,89.0,2697.09,17.36,0.0509,7.64,7.9003,21374.0,89.0
Algeria,Rice,1996,17861,89.0,479.77,16.76,0.0509,8.24,6.1754,19598.0,89.0
Algeria,Rice,1997,15000,89.0,401.22,17.84,0.0509,7.16,5.997,17861.0,89.0
Algeria,Rice,1998,15000,89.0,322.84,17.14,0.0509,7.86,5.7802,15000.0,89.0
Algeria,Rice,1999,13942,89.0,654.45,17.97,0.0509,7.03,6.4853,15000.0,89.0
Algeria,Rice,2000,13052,89.0,603.67,17.9,0.0509,7.1,6.4047,13942.0,89.0
Algeria,Rice,2001,12314,89.0,710.11,18.13,0.0509,6.87,6.5668,13052.0,89.0
Algeria,Rice,2002,12959,89.0,816.55,17.85,0.0509,7.15,6.7063,12314.0,89.0
Algeria,Rice,2004,12829,89.0,3747.86,17.38,0.0509,7.62,8.2292,12959.0,89.0
Algeria,Rice,2005,12998,89.0,3662.87,17.19,0.0509,7.81,8.2063,12829.0,89.0
Algeria,Rice,2006,12769,89.0,4110.72,18.13,0.0509,6.87,8.3216,12998.0,89.0
Algeria,Rice,2007,13375,89.0,5390.79,17.42,0.0509,7.58,8.5926,12769.0,89.0
Algeria,Rice,2008,13952,89.0,11556.12,17.55,0.0509,7.45,9.3551,13375.0,89.0
Algeria,Rice,2009,14594,89.0,3867.99,17.78,0.0509,7.22,8.2607,13952.0,89.0
Algeria,Rice,2010,15305,89.0,1295.88,17.59,0.0509,7.41,7.1677,14594.0,89.0
Algeria,Rice,2011,16081,89.0,13861.76,17.79,0.0509,7.21,9.537,15305.0,89.0
Algeria,Rice,2012,16667,89.0,17379.76,17.91,0.0509,7.09,9.7631,16081.0,89.0
Algeria,Rice,2013,17778,89.0,17278.65,17.65,0.0509,7.35,9.7573,16667.0,89.0
Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,0.1548,10.74,7.8091,16571.0,89.0
Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,0.1548,10.73,7.1037,24231.0,89.0
Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,0.1548,10.0,6.9304,40000.0,89.0
Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,0.1548,9.64,7.9003,50000.0,89.0
Algeria,Sorghum,1996,14750,89.0,479.77,16.76,0.1548,10.24,6.1754,12667.0,89.0
Algeria,Sorghum,1997,40000,89.0,401.22,17.84,0.1548,9.16,5.997,14750.0,89.0
Algeria,Sorghum,1998,24500,89.0,322.84,17.14,0.1548,9.86,5.7802,40000.0,89.0
Algeria,Sorghum,1999,27000,89.0,654.45,17.97,0.1548,9.03,6.4853,24500.0,89.0
Algeria,Sorghum,2000,69500,89.0,603.67,17.9,0.1548,9.1,6.4047,27000.0,89.0
Algeria,Sorghum,2001,27750,89.0,710.11,18.13,0.1548,8.87,6.5668,69500.0,89.0
Algeria,Sorghum,2002,33900,89.0,816.55,17.85,0.1548,9.15,6.7063,27750.0,89.0
Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,0.1548,9.62,8.2292,33900.0,89.0
Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,0.1548,9.81,8.2063,43316.0,89.0
Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,0.1548,8.87,8.3216,33486.0,89.0
Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,0.1548,9.58,8.5926,56728.0,89.0
Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,0.1548,9.45,9.3551,119059.0,89.0
Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,0.1548,9.22,8.2607,61786.0,89.0
Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,0.1548,9.41,7.1677,90465.0,89.0
Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,0.1548,9.21,9.537,30286.0,89.0
Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,0.1548,9.09,9.7631,100000.0,89.0
Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,0.1548,9.35,9.7573,206000.0,89.0
Algeria,Wheat,1991,10809,89.0,2461.8,16.26,0.1618,0.74,7.8091,6315.0,89.0
Algeria,Wheat,1992,9939,89.0,1215.47,16.27,0.1618,0.73,7.1037,10809.0,89.0
Algeria,Wheat,1993,8097,89.0,1021.89,17.0,0.1618,0.0,6.9304,9939.0,89.0
Algeria,Wheat,1994,7999,89.0,1255.02,17.88,0.1618,0.88,7.1357,8097.0,89.0
Algeria,Wheat,1995,8924,89.0,2697.09,17.36,0.1618,0.36,7.9003,7999.0,89.0
Algeria,Wheat,1996,13090,89.0,479.77,16.76,0.1618,0.24,6.1754,8924.0,89.0
Algeria,Wheat,1997,8016,89.0,401.22,17.84,0.1618,0.84,5.997,13090.0,89.0
Algeria,Wheat,1998,8847,89.0,322.84,17.14,0.1618,0.14,5.7802,8016.0,89.0
Algeria,Wheat,1999,10711,89.0,654.45,17.97,0.1618,0.97,6.4853,8847.0,89.0
Algeria,Wheat,2000,9194,89.0,603.67,17.9,0.1618,0.9,6.4047,10711.0,89.0
Algeria,Wheat,2001,11104,89.0,710.11,18.13,0.1618,1.13,6.5668,9194.0,89.0
Algeria,Wheat,2002,10739,89.0,816.55,17.85,0.1618,0.85,6.7063,11104.0,89.0
Algeria,Wheat,2004,13582,89.0,3747.86,17.38,0.1618,0.38,8.2292,10739.0,89.0
Algeria,Wheat,2005,15057,89.0,3662.87,17.19,0.1618,0.19,8.2063,13582.0,89.0
Algeria,Wheat,2006,15068,89.0,4110.72,18.13,0.1618,1.13,8.3216,15057.0,89.0
Algeria,Wheat,2007,12742,89.0,5390.79,17.42,0.1618,0.42,8.5926,15068.0,89.0
Algeria,Wheat,2008,11038,89.0,11556.12,17.55,0.1618,0.55,9.3551,12742.0,89.0
Algeria,Wheat,2009,15975,89.0,3867.99,17.78,0.1618,0.78,8.2607,11038.0,89.0
Algeria,Wheat,2010,14838,89.0,1295.88,17.59,0.1618,0.59,7.1677,15975.0,89.0
Algeria,Wheat,2011,17405,89.0,13861.76,17.79,0.1618,0.79,9.537,14838.0,89.0
Algeria,Wheat,2012,17639,89.0,17379.76,17.91,0.1618,0.91,9.7631,17405.0,89.0
Algeria,Wheat,2013,19100,89.0,17278.65,17.65,0.1618,0.65,9.7573,17639.0,89.0
Angola,Cassava,1991,40295,1010.0,79.0,24.02,0.808,2.98,4.382,41177.0,1010.0
Angola,Cassava,1992,42295,1010.0,23.0,23.96,0.808,3.04,3.1781,40295.0,1010.0
Angola,Cassava,1993,42295,1010.0,169.0,24.15,0.808,2.85,5.1358,42295.0,1010.0
Angola,Cassava,1994,58596,1010.0,25.5,24.04,0.808,2.96,3.2771,42295.0,1010.0
Angola,Cassava,1995,51000,1010.0,336.0,24.56,0.808,2.44,5.8201,58596.0,1010.0
Angola,Cassava,1996,48077,1010.0,40.0,24.11,0.808,2.89,3.7136,51000.0,1010.0
Angola,Cassava,1997,44205,1010.0,40.0,24.06,0.808,2.94,3.7136,48077.0,1010.0
Angola,Cassava,1998,55728,1010.0,40.0,24.96,0.808,2.04,3.7136,44205.0,1010.0
Angola,Cassava,1999,59821,1010.0,40.0,24.37,0.808,2.63,3.7136,55728.0,1010.0
Angola,Cassava,2000,82992,1010.0,40.0,24.41,0.808,2.59,3.7136,59821.0,1010.0
Angola,Cassava,2001,94072,1010.0,40.0,24.43,0.808,2.57,3.7136,82992.0,1010.0
Angola,Cassava,2002,110071,1010.0,40.0,24.79,0.808,2.21,3.7136,94072.0,1010.0
Angola,Cassava,2004,125605,1010.0,40.0,24.22,0.808,2.78,3.7136,110071.0,1010.0
Angola,Cassava,2005,117628,1010.0,40.0,24.41,0.808,2.59,3.7136,125605.0,1010.0
Angola,Cassava,2006,117201,1010.0,40.0,24.14,0.808,2.86,3.7136,117628.0,1010.0
Angola,Cassava,2007,115387,1010.0,40.0,24.24,0.808,2.76,3.7136,117201.0,1010.0
Angola,Cassava,2008,148084,1010.0,40.0,24.27,0.808,2.73,3.7136,115387.0,1010.0
Angola,Cassava,2009,151759,1010.0,40.0,24.33,0.808,2.67,3.7136,148084.0,1010.0
Angola,Cassava,2010,155782,1010.0,40.0,24.44,0.808,2.56,3.7136,151759.0,1010.0
Angola,Cassava,2011,133649,1010.0,40.0,24.15,0.808,2.85,3.7136,155782.0,1010.0
Angola,Cassava,2012,100073,1010.0,40.0,24.24,0.808,2.76,3.7136,133649.0,1010.0
Angola,Cassava,2013,140517,1010.0,40.0,24.55,0.808,2.45,3.7136,100073.0,1010.0
Angola,Maize,1991,4013,1010.0,79.0,24.02,1.5538,0.02,4.382,2736.0,1010.0
Angola,Maize,1992,3778,1010.0,23.0,23.96,1.5538,0.04,3.1781,4013.0,1010.0
Angola,Maize,1993,2627,1010.0,169.0,24.15,1.5538,0.15,5.1358,3778.0,1010.0
Angola,Maize,1994,2463,1010.0,25.5,24.04,1.5538,0.04,3.2771,2627.0,1010.0
Angola,Maize,1995,3517,1010.0,336.0,24.56,1.5538,0.56,5.8201,2463.0,1010.0
Angola,Maize,1996,6993,1010.0,40.0,24.11,1.5538,0.11,3.7136,3517.0,1010.0
Angola,Maize,1997,5959,1010.0,40.0,24.06,1.5538,0.06,3.7136,6993.0,1010.0
Angola,Maize,1998,7396,1010.0,40.0,24.96,1.5538,0.96,3.7136,5959.0,1010.0
Angola,Maize,1999,6361,1010.0,40.0,24.37,1.5538,0.37,3.7136,7396.0,1010.0
Angola,Maize,2000,5745,1010.0,40.0,24.41,1.5538,0.41,3.7136,6361.0,1010.0
Angola,Maize,2001,5754,1010.0,40.0,24.43,1.5538,0.43,3.7136,5745.0,1010.0
Angola,Maize,2002,6706,1010.0,40.0,24.79,1.5538,0.79,3.7136,5754.0,1010.0
Angola,Maize,2004,5404,1010.0,40.0,24.22,1.5538,0.22,3.7136,6706.0,1010.0
Angola,Maize,2005,6736,1010.0,40.0,24.41,1.5538,0.41,3.7136,5404.0,1010.0
Angola,Maize,2006,4687,1010.0,40.0,24.14,1.5538,0.14,3.7136,6736.0,1010.0
Angola,Maize,2007,5091,1010.0,40.0,24.24,1.5538,0.24,3.7136,4687.0,1010.0
Angola,Maize,2008,7946,1010.0,40.0,24.27,1.5538,0.27,3.7136,5091.0,1010.0
Angola,Maize,2009,6614,1010.0,40.0,24.33,1.5538,0.33,3.7136,7946.0,1010.0
Angola,Maize,2010,7200,1010.0,40.0,24.44,1.5538,0.44,3.7136,6614.0,1010.0
Angola,Maize,2011,7376,1010.0,40.0,24.15,1.5538,0.15,3.7136,7200.0,1010.0
Angola,Maize,2012,7770,1010.0,40.0,24.24,1.5538,0.24,3.7136,7376.0,1010.0
Angola,Maize,2013,9467,1010.0,40.0,24.55,1.5538,0.55,3.7136,7770.0,1010.0
Angola,Potatoes,1991,40000,1010.0,79.0,24.02,1.6833,6.02,4.382,40000.0,1010.0
Angola,Potatoes,1992,40000,1010.0,23.0,23.96,1.6833,5.96,3.1781,40000.0,1010.0
Angola,Potatoes,1993,70000,1010.0,169.0,24.15,1.6833,6.15,5.1358,40000.0,1010.0
Angola,Potatoes,1994,90000,1010.0,25.5,24.04,1.6833,6.04,3.2771,70000.0,1010.0
Angola,Potatoes,1995,76738,1010.0,336.0,24.56,1.6833,6.56,5.8201,90000.0,1010.0
Angola,Potatoes,1996,70000,1010.0,40.0,24.11,1.6833,6.11,3.7136,76738.0,1010.0
Angola,Potatoes,1997,68571,1010.0,40.0,24.06,1.6833,6.06,3.7136,70000.0,1010.0
Angola,Potatoes,1998,62724,1010.0,40.0,24.96,1.6833,6.96,3.7136,68571.0,1010.0
Angola,Potatoes,1999,54597,1010.0,40.0,24.37,1.6833,6.37,3.7136,62724.0,1010.0
Angola,Potatoes,2000,29885,1010.0,40.0,24.41,1.6833,6.41,3.7136,54597.0,1010.0
Angola,Potatoes,2001,42552,1010.0,40.0,24.43,1.6833,6.43,3.7136,29885.0,1010.0
Angola,Potatoes,2002,42754,1010.0,40.0,24.79,1.6833,6.79,3.7136,42552.0,1010.0
Angola,Potatoes,2004,20150,1010.0,40.0,24.22,1.6833,6.22,3.7136,42754.0,1010.0
Angola,Potatoes,2005,23646,1010.0,40.0,24.41,1.6833,6.41,3.7136,20150.0,1010.0
Angola,Potatoes,2006,52148,1010.0,40.0,24.14,1.6833,6.14,3.7136,23646.0,1010.0
Angola,Potatoes,2007,62138,1010.0,40.0,24.24,1.6833,6.24,3.7136,52148.0,1010.0
Angola,Potatoes,2008,85085,1010.0,40.0,24.27,1.6833,6.27,3.7136,62138.0,1010.0
Angola,Potatoes,2009,86509,1010.0,40.0,24.33,1.6833,6.33,3.7136,85085.0,1010.0
Angola,Potatoes,2010,87425,1010.0,40.0,24.44,1.6833,6.44,3.7136,86509.0,1010.0
Angola,Potatoes,2011,81366,1010.0,40.0,24.15,1.6833,6.15,3.7136,87425.0,1010.0
Angola,Potatoes,2012,69381,1010.0,40.0,24.24,1.6833,6.24,3.7136,81366.0,1010.0
